Skill,Count,Percentage
data structures/algorithms,973,37.524103355187044
software development,271,10.451214809101426
c++,209,8.060161974546858
java,192,7.404550713459314
python,186,7.17315850366371
javascript,139,5.360586193598149
c,136,5.244890088700347
deep learning,60,2.3139220979560355
distributed systems,53,2.0439645198611647

storage,37,1.4269186270728884
compute technologies,37,1.4269186270728884
go,35,1.349787890474354
networks,32,1.2340917855765523

natural language processing,29,1.1183956806787505
technical leadership,28,1.0798303123794832
large-scale infrastructure,27,1.041264944080216


hardware architecture,37,1.4269186270728884

software testing,40,1.5426147319706902
software architecture,40,1.5426147319706902

software maintenance,32,1.2340917855765523
